username,video_id,comment,clean_comment,label
,,"Situs miskin , numpang promo.",situs miskin   numpang promo,0
,,"Main di 𝘈𝐺𝐔𝙎𝑇𝐎𝙏𝘖, jepe terus",main di agustoto  jepe terus,1
@KimHaHo-h1s,lvb0_bGZDTU,"Gak bosan nonton ᑭᖇOᗷET❽❺❺, selalu meaningful! 💓",@KimHaHo-h1s gak bosan nonton probet855  selalu meaningful,1
,,xixixixi,xixixixi,0
@PytSkrip,SAAVZtoQTH4,Di gigit Arif Brata ya bang,@PytSkrip di gigit arif brata ya bang,0
@YusufMetin-r1w,,𝘽𝙊𝙒𝙊77 adalah tempat yang sempurna untuk mereka yang berani mengejar kemenangan besar dan kesenangan tanpa henti!😊⭐,@YusufMetin-r1w bowo77 adalah tempat yang sempurna untuk mereka yang berani mengejar kemenangan besar dan kesenangan tanpa henti,1
,,giliran kalah mencak sana sini begitu menang diem hahay gak lah nih gw bagi ambil4d  😅😅,giliran kalah mencak sana sini begitu menang diem hahay gak lah nih gw bagi ambil4d,0
,,"Kata Gojo karena rollet mak, parah banget emang Gojo Gojo itu mak",kata gojo karena rollet mak  parah banget emang gojo gojo itu mak,0
,,yes king,yes king,0
,,Utang kelar main di 𝘼𝐺𝑈𝐒T𝙊𝑇О,utang kelar main di agustoto,1
@fishafa1533,,Tambah ini (°),@fishafa1533 tambah ini,0
@PhuongDungCao-v1x,SAAVZtoQTH4,Disini mantap modal minim jadi naga Cari di G O G G L E  👑𝐒𝐆𝐈𝟖𝟖👑,@PhuongDungCao-v1x disini mantap modal minim jadi naga cari di g o g g l e   sgi88,1
,,Skuykuy, skuykuy,0
@kaizakiarrata,,kek suara hujan ya om,@kaizakiarrata kek suara hujan ya om,0
,,Live semalem mana sir, live semalem mana sir,0
@BimzzOnlyyy,,udh tamat😢,@BimzzOnlyyy udh tamat,0
@ariawiyana,lvb0_bGZDTU,Ditunggu tingning di netflix 🎉,@ariawiyana ditunggu tingning di netflix,0
@HuuHienPham-i6l,atYGhviVhf8,"09:10 Visual cakep, 👉 𝙿𝚛𝚘𝚋𝚎𝚝𝟾𝟻𝟻 👈 bikin betah! 👀",@HuuHienPham-i6l visual cakep    probet855   bikin betah,1
@AlbyAlby-r1l,,Malam ini terakhir kuli kah?,@AlbyAlby-r1l malam ini terakhir kuli kah,0
,,Bro mencoba fanum tax 😂,bro mencoba fanum tax,0
,,Renungan + gorengan 😂,renungan   gorengan,0
,,bngst jot 😂,bngst jot,0
@judithadel6987,,korban juga cantik mau aja jadi selingkuhan  aki2 kyk gni,@judithadel6987 korban juga cantik mau aja jadi selingkuhan  aki2 kyk gni,0
,,Xixixixi NgaKaKK AbiiEezz,xixixixi ngakakk abiieezz,0
,,"𝐀𝘌𝑅О88 gua coba main, saldo lngsung nambah 3x lipat", aero88 gua coba main  saldo lngsung nambah 3x lipat,1
,,A𝙂𝙐𝑆𝙏О𝙏𝙊emang is the best! JP-nya bikin mata terbelalak!,agustotoemang is the best  jp-nya bikin mata terbelalak,1
@CallistaAndre-s9v,atYGhviVhf8,Sekarang semua timeline dipenuhi dengan 🅿️︎🆄🅻︎🅰️︎🆄︎🆆︎🅸︎🅽︎.,@CallistaAndre-s9v sekarang semua timeline dipenuhi dengan p  ul a  u w i n,1
,,Tisu magic bisa magic apa dok <br>Malah dijelasin beneran😂,tisu magic bisa magic apa dok malah dijelasin beneran,0
,,"Awal nya cuman penasaran,, eh malah beneran jepe di Ga rud ah oki😍", awal nya cuman penasaran   eh malah beneran jepe di ga rud ah oki,1
,,"Nggak bisa percaya, baru pertama kali coba di 𝘈𝙀𝘙𝐎𝟪8-langsung dapet rezeki gede!",nggak bisa percaya  baru pertama kali coba di aero88-langsung dapet rezeki gede,1
,,Semua hanya bullshit ye king 😂,semua hanya bullshit ye king,0
,,"Sikat habis semua bonus dan promo di 𝘈G𝐔𝘚𝐓О𝑇O, auto jadi jutawan!", sikat habis semua bonus dan promo di agustoto  auto jadi jutawan,1
@TasnimCakes,,Belajar apa yg paling sulit? <br>Belajar menghadapi masalah.,@TasnimCakes belajar apa yg paling sulit  belajar menghadapi masalah,0
,,kocak yallah 😭😭, kocak yallah,0
,,Xixixix king,xixixix king,0
,,"Modal kecil berubah jadi keuntungan besar di 𝐴𝐆U𝑆𝑇O𝐓𝐎,amazing banget!",modal kecil berubah jadi keuntungan besar di agustoto amazing banget,1
,,kleptonya kambuh, kleptonya kambuh,0
,,"Aku baru aja coba, dan langsung dapet jakpot gede di 𝐴ER𝘖𝟖𝟴.Rasanya gak percaya, tapi itu nyata!",aku baru aja coba  dan langsung dapet jakpot gede di aero88 rasanya gak percaya  tapi itu nyata,1
,,Jaman baheula atuh ie mah, jaman baheula atuh ie mah,0
,,bilang aja elu nge Kode brand parfum jott😂,bilang aja elu nge kode brand parfum jott,0
,,coba deh 𝐁𝐈𝐑𝟏𝟐𝟑🌷🌷🌷,coba deh bir123,1
@ORLANDOStein-u2e,,alhamdulillah putar 150k ℬ𝗢ᗯ𝗢𝟩𝟳 gandos langsung,@ORLANDOStein-u2e alhamdulillah putar 150k bowo77 gandos langsung,1
,,Bahas American Airlanes pleaseeee, bahas american airlanes pleaseeee,0
@thảohồng1998,atYGhviVhf8,Review-nya detail banget! 💕𝐌𝐎𝐍𝐀𝟒𝐃🟣 bikin aku percaya sama rekomendasinya!,@thảohồng1998 review-nya detail banget   mona4d  bikin aku percaya sama rekomendasinya,1
@YenLuongBa_2655,lvb0_bGZDTU,Inspirasi banget buat hidup sehat! 💕𝐌𝐎𝐍𝐀𝟒𝐃🟣 bikin aku termotivasi olahraga!,@YenLuongBa_2655 inspirasi banget buat hidup sehat   mona4d  bikin aku termotivasi olahraga,1
,,"Sangat menyenangkan dan seru sekali bermain di АG𝐔𝙎T𝘖𝑇𝐎,tiba-tiba mendapatkan JP yang sangat besar, rezeki memang tidak akan pernah tertukar dengan yang lain!",sangat menyenangkan dan seru sekali bermain di agustoto tiba-tiba mendapatkan jp yang sangat besar  rezeki memang tidak akan pernah tertukar dengan yang lain,1
,,Ini game apa, ini game apa,0
,,АGU𝐒𝑇𝘖T𝙊 maxwin ga ada lawan,agustoto maxwin ga ada lawan,1
,,ꗥ𝙈 𝘼 𝙉 𝙐 𝙏 8 8ꗥ selalu jadi jalan ninjaku saat dompet sedang sekarat,ꗥm a n u t 8 8ꗥ selalu jadi jalan ninjaku saat dompet sedang sekarat,1
,,"jgn judi guys, komentar dipenuhin judol judol gj",jgn judi guys  komentar dipenuhin judol judol gj,0
