label,username,video_id,comment,clean_comment
FALSE,@2NineFitIndonesia,QhmebdBeXKY,"Kebanyakan Orang tua di Indonesia masih percaya kalau anaknya latihan gerakan seperti push up atau squat apalagi dengan beban itu akan menghambat pertumbuhan anaknya❌

Faktanya selama latihan fisik atau latihan beban dilakukan dengan teknik yg benar dan sesuai kemampuan anaknya itu aman saja malah bisa membantu anaknya bertumbuh secara maksimal✅","@2NineFitIndonesia kebanyakan orang tua di indonesia masih percaya kalau anaknya latihan gerakan seperti push up atau squat apalagi dengan beban itu akan menghambat pertumbuhan anaknya 

faktanya selama latihan fisik atau latihan beban dilakukan dengan teknik yg benar dan sesuai kemampuan anaknya itu aman saja malah bisa membantu anaknya bertumbuh secara maksimal"
FALSE,@azkamaulana6736,QhmebdBeXKY,"Bang saya mau nanya saya sebenarnya sudah WO 1 bulan berjalan
Jadi saya nambahin dari push up dan pull up yang 15 reps 3 set, jadi 25 reps 4 set apakah boleh?
Dan jadwal saya Senin push up, Selasa pull up, Rabu push up lagi, dan kamis pull up lagi, Jumat rest, Sabtu latihan perut dan latihan kaki, Minggu/Ahad saya rest lagi... 
Apakah bener bang cara dan jadwal saya selama berjalan 1 bulan ini?
Saya sejujurnya masih pemula dan otodidak baru mulai, itu pun cuman nonton tutorial di YouTube buat latihan dan saya mix sendiri bang hehe😅
Dan saya baru menginjak 15 tahun, takut nya ada perbedaan cara latihan saya dengan orang dewasa bang
Mohon izin di respon bang😅🙏","@azkamaulana6736 bang saya mau nanya saya sebenarnya sudah wo 1 bulan berjalan
jadi saya nambahin dari push up dan pull up yang 15 reps 3 set  jadi 25 reps 4 set apakah boleh 
dan jadwal saya senin push up  selasa pull up  rabu push up lagi  dan kamis pull up lagi  jumat rest  sabtu latihan perut dan latihan kaki  minggu ahad saya rest lagi    
apakah bener bang cara dan jadwal saya selama berjalan 1 bulan ini 
saya sejujurnya masih pemula dan otodidak baru mulai  itu pun cuman nonton tutorial di youtube buat latihan dan saya mix sendiri bang hehe 
dan saya baru menginjak 15 tahun  takut nya ada perbedaan cara latihan saya dengan orang dewasa bang
mohon izin di respon bang"
FALSE,@Arwindarx,QhmebdBeXKY,👌🏽,@Arwindarx
FALSE,@jauharsyarif6582,QhmebdBeXKY,Dari umur berapa yah baiknya anak mulai latihan beban?,@jauharsyarif6582 dari umur berapa yah baiknya anak mulai latihan beban
FALSE,@XyieroAldi1445,QhmebdBeXKY,Orang indo kebanyakan mitos😂,@XyieroAldi1445 orang indo kebanyakan mitos
FALSE,@acexgod99,QhmebdBeXKY,"bro, anak gw normal gak sih, pull up 15x, push up 35x, sit up 25x, squat 50x, masih 12 tahun, wajar gak?",@acexgod99 bro  anak gw normal gak sih  pull up 15x  push up 35x  sit up 25x  squat 50x  masih 12 tahun  wajar gak
FALSE,@muchlismahmud4441,QhmebdBeXKY,"Iya, aku dulu pernah dengar, jangan push up, nanti bisa pendek, ndak bisa tinggi",@muchlismahmud4441 iya  aku dulu pernah dengar  jangan push up  nanti bisa pendek  ndak bisa tinggi
FALSE,@DadarGombal12,QhmebdBeXKY,Kok beliau gk ad bahas Hotto yah!!! 😅,@DadarGombal12 kok beliau gk ad bahas hotto yah
FALSE,@numpang_lewat_bro,QhmebdBeXKY,Menghambat lah... Beban yg digunakan 200kg,@numpang_lewat_bro menghambat lah    beban yg digunakan 200kg
FALSE,@unkn0wn2-j,QhmebdBeXKY,Timothy ketar ketir sih 😂😂 lagi,@unkn0wn2-j timothy ketar ketir sih    lagi
FALSE,@rizkixbmia3832,QhmebdBeXKY,"Sebenarnya saya bisa ke 182 tapi sayangnya kemakan sama doktrin ini,yang ada umur 19 masih di 177cm 😢😢",@rizkixbmia3832 sebenarnya saya bisa ke 182 tapi sayangnya kemakan sama doktrin ini yang ada umur 19 masih di 177cm
FALSE,@filmesharrifena865,QhmebdBeXKY,Pengen lihat bang Bobby sparing futsal,@filmesharrifena865 pengen lihat bang bobby sparing futsal
FALSE,@hamzahmuzhaffar9622,QhmebdBeXKY,Dlu tinggi saya 165cm di umur 12 setelah ikut fitness jadi 185cm diumur 16,@hamzahmuzhaffar9622 dlu tinggi saya 165cm di umur 12 setelah ikut fitness jadi 185cm diumur 16
FALSE,@Sugokuninaru,QhmebdBeXKY,Bang lu asli jerman? Gw kira indo,@Sugokuninaru bang lu asli jerman  gw kira indo
FALSE,@Abdullf7,QhmebdBeXKY,"Saya sejak kecil dimasukin orangtua saya taekwondo, sayang genetik bikin saya gak bisa tinggi maksimal",@Abdullf7 saya sejak kecil dimasukin orangtua saya taekwondo  sayang genetik bikin saya gak bisa tinggi maksimal
FALSE,@heaverdh6706,QhmebdBeXKY,"Justru yg menghambat tumbuh anak itu,memperbolehkan mereka nonton video brainroot😅",@heaverdh6706 justru yg menghambat tumbuh anak itu memperbolehkan mereka nonton video brainroot
FALSE,@zelfilesparisiens1180,QhmebdBeXKY,Jadi penasaran skill bola bang boby 😅,@zelfilesparisiens1180 jadi penasaran skill bola bang boby
TRUE,@QuangVietDuong-j8w,QhmebdBeXKY,𝐓𝐈𝐌𝐎𝟒𝐃 mantap gacirnya,@QuangVietDuong-j8w timo4d mantap gacirnya
TRUE,@QuangHungHo-o2k,QhmebdBeXKY,"Kontennya bikin betah, 👵𝐓𝐈𝐌𝐎𝟒𝐃👵 juga bikin betah sampe pagi. 🌄",@QuangHungHo-o2k kontennya bikin betah   timo4d  juga bikin betah sampe pagi
TRUE,@NgocVietTran-c2m,QhmebdBeXKY,"Reactionnya bikin ngakak terus! Sambil ketawa, aku sambil menang di 𝐓𝐈𝐌𝐎𝟒𝐃! 😆🎲",@NgocVietTran-c2m reactionnya bikin ngakak terus  sambil ketawa  aku sambil menang di timo4d
TRUE,@VanThanhLy-g9r,QhmebdBeXKY,✌𝐓𝐈𝐌𝐎𝟒𝐃✌ itu andalan di kala gabut!,@VanThanhLy-g9r timo4d  itu andalan di kala gabut
TRUE,@MinhThanhVo-b7y,QhmebdBeXKY,𝐓𝐈𝐌𝐎𝟒𝐃 parah asli Gacor nya bro,@MinhThanhVo-b7y timo4d parah asli gacor nya bro
TRUE,@MaiNganHoang-i3q,QhmebdBeXKY,menyala Abangkuhh ⭐𝐓𝐈𝐌𝐎𝟒𝐃⭐.,@MaiNganHoang-i3q menyala abangkuhh  timo4d
TRUE,@DucLongDang-y2m,QhmebdBeXKY,Bagus aku suka banget 𝐓𝐈𝐌𝐎𝟒𝐃,@DucLongDang-y2m bagus aku suka banget timo4d
TRUE,@AnhTanHa-p3v,QhmebdBeXKY,Suka banget sama gaya penyampaiannya! 𝐓𝐈𝐌𝐎𝟒𝐃,@AnhTanHa-p3v suka banget sama gaya penyampaiannya  timo4d
TRUE,@ThuHaDang-o1x,QhmebdBeXKY,Bangun tidur langsung buka ✌𝐓𝐈𝐌𝐎𝟒𝐃✌.,@ThuHaDang-o1x bangun tidur langsung buka  timo4d
TRUE,@DucHungDo-j4x,QhmebdBeXKY,Mantap! 𝗧𝗶𝗺𝗼𝟰𝗗,@DucHungDo-j4x mantap  timo4d
TRUE,@QuangPhongHoang-w8w,QhmebdBeXKY,selalu bikin aku balik lagi dan lagi! 🔁𝐓𝐈𝐌𝐎𝟒𝐃,@QuangPhongHoang-w8w selalu bikin aku balik lagi dan lagi   timo4d
TRUE,@KimChiDo-y2d,QhmebdBeXKY,kontennya keren banget! 𝐓𝐈𝐌𝐎𝟒𝐃,@KimChiDo-y2d kontennya keren banget  timo4d
TRUE,@HuuHaiHo-n7e,QhmebdBeXKY,"Asli deh, ⭐𝐓𝐈𝐌𝐎𝟒𝐃⭐ sama konten lo sama-sama bikin betah! 🏠",@HuuHaiHo-n7e asli deh   timo4d  sama konten lo sama-sama bikin betah
