label,username,video_id,comment,clean_comment
0.0,@2NineFitIndonesia,QhmebdBeXKY,"Kebanyakan Orang tua di Indonesia masih percaya kalau anaknya latihan gerakan seperti push up atau squat apalagi dengan beban itu akan menghambat pertumbuhan anaknya❌

Faktanya selama latihan fisik atau latihan beban dilakukan dengan teknik yg benar dan sesuai kemampuan anaknya itu aman saja malah bisa membantu anaknya bertumbuh secara maksimal✅","@2NineFitIndonesia kebanyakan orang tua di indonesia masih percaya kalau anaknya latihan gerakan seperti push up atau squat apalagi dengan beban itu akan menghambat pertumbuhan anaknya 

faktanya selama latihan fisik atau latihan beban dilakukan dengan teknik yg benar dan sesuai kemampuan anaknya itu aman saja malah bisa membantu anaknya bertumbuh secara maksimal"
0.0,@azkamaulana6736,QhmebdBeXKY,"Bang saya mau nanya saya sebenarnya sudah WO 1 bulan berjalan
Jadi saya nambahin dari push up dan pull up yang 15 reps 3 set, jadi 25 reps 4 set apakah boleh?
Dan jadwal saya Senin push up, Selasa pull up, Rabu push up lagi, dan kamis pull up lagi, Jumat rest, Sabtu latihan perut dan latihan kaki, Minggu/Ahad saya rest lagi... 
Apakah bener bang cara dan jadwal saya selama berjalan 1 bulan ini?
Saya sejujurnya masih pemula dan otodidak baru mulai, itu pun cuman nonton tutorial di YouTube buat latihan dan saya mix sendiri bang hehe😅
Dan saya baru menginjak 15 tahun, takut nya ada perbedaan cara latihan saya dengan orang dewasa bang
Mohon izin di respon bang😅🙏","@azkamaulana6736 bang saya mau nanya saya sebenarnya sudah wo 1 bulan berjalan
jadi saya nambahin dari push up dan pull up yang 15 reps 3 set  jadi 25 reps 4 set apakah boleh 
dan jadwal saya senin push up  selasa pull up  rabu push up lagi  dan kamis pull up lagi  jumat rest  sabtu latihan perut dan latihan kaki  minggu ahad saya rest lagi    
apakah bener bang cara dan jadwal saya selama berjalan 1 bulan ini 
saya sejujurnya masih pemula dan otodidak baru mulai  itu pun cuman nonton tutorial di youtube buat latihan dan saya mix sendiri bang hehe 
dan saya baru menginjak 15 tahun  takut nya ada perbedaan cara latihan saya dengan orang dewasa bang
mohon izin di respon bang"
0.0,@Arwindarx,QhmebdBeXKY,👌🏽,@Arwindarx
0.0,@jauharsyarif6582,QhmebdBeXKY,Dari umur berapa yah baiknya anak mulai latihan beban?,@jauharsyarif6582 dari umur berapa yah baiknya anak mulai latihan beban
0.0,@XyieroAldi1445,QhmebdBeXKY,Orang indo kebanyakan mitos😂,@XyieroAldi1445 orang indo kebanyakan mitos
0.0,@acexgod99,QhmebdBeXKY,"bro, anak gw normal gak sih, pull up 15x, push up 35x, sit up 25x, squat 50x, masih 12 tahun, wajar gak?",@acexgod99 bro  anak gw normal gak sih  pull up 15x  push up 35x  sit up 25x  squat 50x  masih 12 tahun  wajar gak
0.0,@muchlismahmud4441,QhmebdBeXKY,"Iya, aku dulu pernah dengar, jangan push up, nanti bisa pendek, ndak bisa tinggi",@muchlismahmud4441 iya  aku dulu pernah dengar  jangan push up  nanti bisa pendek  ndak bisa tinggi
0.0,@DadarGombal12,QhmebdBeXKY,Kok beliau gk ad bahas Hotto yah!!! 😅,@DadarGombal12 kok beliau gk ad bahas hotto yah
0.0,@numpang_lewat_bro,QhmebdBeXKY,Menghambat lah... Beban yg digunakan 200kg,@numpang_lewat_bro menghambat lah    beban yg digunakan 200kg
0.0,@unkn0wn2-j,QhmebdBeXKY,Timothy ketar ketir sih 😂😂 lagi,@unkn0wn2-j timothy ketar ketir sih    lagi
